episode_id,transition_key,run_id,generated_at_utc,benchmark_suite,compiler_gym_version,compiler_version,host_name,python_version,benchmark_uri,episode_index,step_index,pass_id,pass_name,pass_flag,pass_position,previous_pass_sequence,reward_space,raw_step_reward,hybrid_reward,runtime_improvement,ir_improvement,size_improvement,cumulative_reward,pass_success,action_had_no_effect,done,termination_reason,step_walltime_sec,error_type,error_message,pre_state_id,pre_ir_instruction_count,pre_object_text_size_bytes,pre_total_basic_blocks,pre_total_functions,pre_total_instructions,pre_total_memory_instructions,post_state_id,post_ir_instruction_count,post_object_text_size_bytes,post_total_basic_blocks,post_total_functions,post_total_instructions,post_total_memory_instructions,pre_autophase_BBNumArgsHi,pre_autophase_BBNumArgsLo,pre_autophase_onePred,pre_autophase_onePredOneSuc,pre_autophase_onePredTwoSuc,pre_autophase_oneSuccessor,pre_autophase_twoPred,pre_autophase_twoPredOneSuc,pre_autophase_twoEach,pre_autophase_twoSuccessor,pre_autophase_morePreds,pre_autophase_BB03Phi,pre_autophase_BBHiPhi,pre_autophase_BBNoPhi,pre_autophase_BeginPhi,pre_autophase_BranchCount,pre_autophase_returnInt,pre_autophase_CriticalCount,pre_autophase_NumEdges,pre_autophase_const32Bit,pre_autophase_const64Bit,pre_autophase_numConstZeroes,pre_autophase_numConstOnes,pre_autophase_UncondBranches,pre_autophase_binaryConstArg,pre_autophase_NumAShrInst,pre_autophase_NumAddInst,pre_autophase_NumAllocaInst,pre_autophase_NumAndInst,pre_autophase_BlockMid,pre_autophase_BlockLow,pre_autophase_NumBitCastInst,pre_autophase_NumBrInst,pre_autophase_NumCallInst,pre_autophase_NumGetElementPtrInst,pre_autophase_NumICmpInst,pre_autophase_NumLShrInst,pre_autophase_NumLoadInst,pre_autophase_NumMulInst,pre_autophase_NumOrInst,pre_autophase_NumPHIInst,pre_autophase_NumRetInst,pre_autophase_NumSExtInst,pre_autophase_NumSelectInst,pre_autophase_NumShlInst,pre_autophase_NumStoreInst,pre_autophase_NumSubInst,pre_autophase_NumTruncInst,pre_autophase_NumXorInst,pre_autophase_NumZExtInst,pre_autophase_TotalBlocks,pre_autophase_TotalInsts,pre_autophase_TotalMemInst,pre_autophase_TotalFuncs,pre_autophase_ArgsPhi,pre_autophase_testUnary,post_autophase_BBNumArgsHi,post_autophase_BBNumArgsLo,post_autophase_onePred,post_autophase_onePredOneSuc,post_autophase_onePredTwoSuc,post_autophase_oneSuccessor,post_autophase_twoPred,post_autophase_twoPredOneSuc,post_autophase_twoEach,post_autophase_twoSuccessor,post_autophase_morePreds,post_autophase_BB03Phi,post_autophase_BBHiPhi,post_autophase_BBNoPhi,post_autophase_BeginPhi,post_autophase_BranchCount,post_autophase_returnInt,post_autophase_CriticalCount,post_autophase_NumEdges,post_autophase_const32Bit,post_autophase_const64Bit,post_autophase_numConstZeroes,post_autophase_numConstOnes,post_autophase_UncondBranches,post_autophase_binaryConstArg,post_autophase_NumAShrInst,post_autophase_NumAddInst,post_autophase_NumAllocaInst,post_autophase_NumAndInst,post_autophase_BlockMid,post_autophase_BlockLow,post_autophase_NumBitCastInst,post_autophase_NumBrInst,post_autophase_NumCallInst,post_autophase_NumGetElementPtrInst,post_autophase_NumICmpInst,post_autophase_NumLShrInst,post_autophase_NumLoadInst,post_autophase_NumMulInst,post_autophase_NumOrInst,post_autophase_NumPHIInst,post_autophase_NumRetInst,post_autophase_NumSExtInst,post_autophase_NumSelectInst,post_autophase_NumShlInst,post_autophase_NumStoreInst,post_autophase_NumSubInst,post_autophase_NumTruncInst,post_autophase_NumXorInst,post_autophase_NumZExtInst,post_autophase_TotalBlocks,post_autophase_TotalInsts,post_autophase_TotalMemInst,post_autophase_TotalFuncs,post_autophase_ArgsPhi,post_autophase_testUnary,delta_ir_instruction_count,delta_object_text_size_bytes,pre_runtime_median_sec,post_runtime_median_sec
benchmark_cbench-v1_adpcm_0_19c326,b37ff3393b4151b3,24223de53746444394b73b36ea25f8f4,2026-07-31T14:41:05.043604+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,Dhanush,3.10.20,benchmark://cbench-v1/adpcm,0,0,40,-globaldce,-globaldce,0,[],IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,action_no_effect,0.2721895909999148,,,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,,
benchmark_cbench-v1_adpcm_1_cc1528,0711a366ddb4665a,24223de53746444394b73b36ea25f8f4,2026-07-31T14:41:05.043604+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,Dhanush,3.10.20,benchmark://cbench-v1/adpcm,1,0,105,-reassociate,-reassociate,0,[],IrInstructionCountO3,0.002898550724637681,0.13227513227513224,0.0,0.001763668430335097,0.0,0.13227513227513224,True,False,False,,0.2743039859997225,,,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,fc28caab0d41cce541b4d1b468289b6d8b75b48a,566,1901,73,14,566,340,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,2,73,566,340,14,0,243,-1,0,,
benchmark_cbench-v1_adpcm_1_cc1528,786522bb8d355637,24223de53746444394b73b36ea25f8f4,2026-07-31T14:41:05.043604+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,Dhanush,3.10.20,benchmark://cbench-v1/adpcm,1,1,105,-reassociate,-reassociate,1,[105],IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,0.13227513227513224,True,False,True,repeated_state,0.2699576810000508,,,fc28caab0d41cce541b4d1b468289b6d8b75b48a,566,1901,73,14,566,340,fc28caab0d41cce541b4d1b468289b6d8b75b48a,566,1901,73,14,566,340,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,2,73,566,340,14,0,243,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,2,73,566,340,14,0,243,0,0,,
benchmark_cbench-v1_adpcm_2_7fcae0,bfbece8575532f5f,24223de53746444394b73b36ea25f8f4,2026-07-31T14:41:05.043604+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,Dhanush,3.10.20,benchmark://cbench-v1/adpcm,2,0,40,-globaldce,-globaldce,0,[],IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,action_no_effect,0.2651968300006047,,,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,,
benchmark_cbench-v1_adpcm_3_c87bfe,7a77c67a95d78916,24223de53746444394b73b36ea25f8f4,2026-07-31T14:41:05.043604+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,Dhanush,3.10.20,benchmark://cbench-v1/adpcm,3,0,15,-constmerge,-constmerge,0,[],IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,action_no_effect,0.2744090390006022,,,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,,
benchmark_cbench-v1_adpcm_4_d2cde0,674318bb0c10c61f,24223de53746444394b73b36ea25f8f4,2026-07-31T14:41:05.043604+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,Dhanush,3.10.20,benchmark://cbench-v1/adpcm,4,0,62,-loop-distribute,-loop-distribute,0,[],IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,action_no_effect,0.2736866330005796,,,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,,
benchmark_cbench-v1_adpcm_5_6537e6,dc7661a08940f34a,24223de53746444394b73b36ea25f8f4,2026-07-31T14:41:05.043604+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,Dhanush,3.10.20,benchmark://cbench-v1/adpcm,5,0,78,-loop-unswitch,-loop-unswitch,0,[],IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,action_no_effect,0.2835680179996416,,,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,,
benchmark_cbench-v1_adpcm_6_7d86c2,705a2ea46e7d1e8b,24223de53746444394b73b36ea25f8f4,2026-07-31T14:41:05.043604+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,Dhanush,3.10.20,benchmark://cbench-v1/adpcm,6,0,5,-argpromotion,-argpromotion,0,[],IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,action_no_effect,0.2710794029999306,,,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,,
benchmark_cbench-v1_adpcm_7_27d958,9192019489cb5dbb,24223de53746444394b73b36ea25f8f4,2026-07-31T14:41:05.043604+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,Dhanush,3.10.20,benchmark://cbench-v1/adpcm,7,0,53,-instcombine,-instcombine,0,[],IrInstructionCountO3,0.10144927536231885,4.629629629629629,0.0,0.06172839506172839,0.0,4.629629629629629,True,False,False,,0.2634379689998241,,,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,4edefeb78d5aa74ed840fcdbf226240b984dbcc0,532,1901,73,15,532,296,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,9,45,33,7,40,25,5,18,26,0,9,0,64,9,66,5,14,95,115,76,48,55,40,26,6,13,35,9,5,68,60,66,62,19,28,2,99,0,4,9,3,12,0,1,81,6,8,0,3,73,532,296,15,18,217,-35,0,,
benchmark_cbench-v1_adpcm_8_182754,658772330ce0bdef,24223de53746444394b73b36ea25f8f4,2026-07-31T14:41:05.043604+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,Dhanush,3.10.20,benchmark://cbench-v1/adpcm,8,0,36,-inline,-inline,0,[],IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,action_no_effect,0.26366304099974514,,,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,018be3d6c8a6dd0f1590907aced36c43ff80948e,567,1901,73,14,567,340,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,45,33,7,40,25,5,18,26,0,0,0,73,0,66,5,14,95,133,65,52,59,40,27,7,13,37,9,7,66,56,66,66,19,29,0,127,0,4,0,3,13,1,1,91,6,8,2,3,73,567,340,14,0,244,0,0,,
