episode_id,transition_key,run_id,generated_at_utc,benchmark_suite,compiler_gym_version,compiler_version,host_name,python_version,benchmark_uri,episode_index,step_index,pass_id,pass_name,pass_flag,pass_position,previous_pass_sequence,reward_space,raw_step_reward,hybrid_reward,runtime_improvement,ir_improvement,size_improvement,cumulative_reward,pass_success,action_had_no_effect,done,termination_reason,step_walltime_sec,error_type,error_message,pre_state_id,pre_ir_instruction_count,pre_object_text_size_bytes,pre_total_basic_blocks,pre_total_functions,pre_total_instructions,pre_total_memory_instructions,post_state_id,post_ir_instruction_count,post_object_text_size_bytes,post_total_basic_blocks,post_total_functions,post_total_instructions,post_total_memory_instructions,pre_autophase_BBNumArgsHi,pre_autophase_BBNumArgsLo,pre_autophase_onePred,pre_autophase_onePredOneSuc,pre_autophase_onePredTwoSuc,pre_autophase_oneSuccessor,pre_autophase_twoPred,pre_autophase_twoPredOneSuc,pre_autophase_twoEach,pre_autophase_twoSuccessor,pre_autophase_morePreds,pre_autophase_BB03Phi,pre_autophase_BBHiPhi,pre_autophase_BBNoPhi,pre_autophase_BeginPhi,pre_autophase_BranchCount,pre_autophase_returnInt,pre_autophase_CriticalCount,pre_autophase_NumEdges,pre_autophase_const32Bit,pre_autophase_const64Bit,pre_autophase_numConstZeroes,pre_autophase_numConstOnes,pre_autophase_UncondBranches,pre_autophase_binaryConstArg,pre_autophase_NumAShrInst,pre_autophase_NumAddInst,pre_autophase_NumAllocaInst,pre_autophase_NumAndInst,pre_autophase_BlockMid,pre_autophase_BlockLow,pre_autophase_NumBitCastInst,pre_autophase_NumBrInst,pre_autophase_NumCallInst,pre_autophase_NumGetElementPtrInst,pre_autophase_NumICmpInst,pre_autophase_NumLShrInst,pre_autophase_NumLoadInst,pre_autophase_NumMulInst,pre_autophase_NumOrInst,pre_autophase_NumPHIInst,pre_autophase_NumRetInst,pre_autophase_NumSExtInst,pre_autophase_NumSelectInst,pre_autophase_NumShlInst,pre_autophase_NumStoreInst,pre_autophase_NumSubInst,pre_autophase_NumTruncInst,pre_autophase_NumXorInst,pre_autophase_NumZExtInst,pre_autophase_TotalBlocks,pre_autophase_TotalInsts,pre_autophase_TotalMemInst,pre_autophase_TotalFuncs,pre_autophase_ArgsPhi,pre_autophase_testUnary,post_autophase_BBNumArgsHi,post_autophase_BBNumArgsLo,post_autophase_onePred,post_autophase_onePredOneSuc,post_autophase_onePredTwoSuc,post_autophase_oneSuccessor,post_autophase_twoPred,post_autophase_twoPredOneSuc,post_autophase_twoEach,post_autophase_twoSuccessor,post_autophase_morePreds,post_autophase_BB03Phi,post_autophase_BBHiPhi,post_autophase_BBNoPhi,post_autophase_BeginPhi,post_autophase_BranchCount,post_autophase_returnInt,post_autophase_CriticalCount,post_autophase_NumEdges,post_autophase_const32Bit,post_autophase_const64Bit,post_autophase_numConstZeroes,post_autophase_numConstOnes,post_autophase_UncondBranches,post_autophase_binaryConstArg,post_autophase_NumAShrInst,post_autophase_NumAddInst,post_autophase_NumAllocaInst,post_autophase_NumAndInst,post_autophase_BlockMid,post_autophase_BlockLow,post_autophase_NumBitCastInst,post_autophase_NumBrInst,post_autophase_NumCallInst,post_autophase_NumGetElementPtrInst,post_autophase_NumICmpInst,post_autophase_NumLShrInst,post_autophase_NumLoadInst,post_autophase_NumMulInst,post_autophase_NumOrInst,post_autophase_NumPHIInst,post_autophase_NumRetInst,post_autophase_NumSExtInst,post_autophase_NumSelectInst,post_autophase_NumShlInst,post_autophase_NumStoreInst,post_autophase_NumSubInst,post_autophase_NumTruncInst,post_autophase_NumXorInst,post_autophase_NumZExtInst,post_autophase_TotalBlocks,post_autophase_TotalInsts,post_autophase_TotalMemInst,post_autophase_TotalFuncs,post_autophase_ArgsPhi,post_autophase_testUnary,delta_ir_instruction_count,delta_object_text_size_bytes,pre_runtime_median_sec,post_runtime_median_sec
36864b1e10cc188891250948,1e6b1dcff7fc4b1f,a69c361dc1eb48909131d7e6a57e270b,2026-08-10T13:39:57.361971+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/qsort,0,0,1,-adce,-adce,0,[],IrInstructionCountO3,1.0,0.11755485893416927,0.0,0.001567398119122257,0.0,0.11755485893416927,True,False,False,,0.03124281018972397,,,06b2f991409d560af967028c955ae6d0a7f8c971,638,3113,85,16,638,402,6ef6f28c912b43a9b5661a428835053e1e31c6f8,637,3113,85,16,637,402,0,4,54,39,12,46,23,6,12,31,2,4,0,81,4,77,13,15,108,106,75,51,71,46,15,0,9,46,0,13,72,51,77,81,39,31,0,163,2,0,4,6,13,1,0,73,8,1,0,15,85,638,402,16,10,298,0,4,54,39,12,46,23,6,12,31,2,4,0,81,4,77,13,15,108,106,75,51,71,46,15,0,9,46,0,13,72,51,77,81,39,31,0,163,2,0,4,6,13,1,0,73,8,1,0,14,85,637,402,16,10,297,-1,0,,
36864b1e10cc188891250948,33adf10b335d5de8,a69c361dc1eb48909131d7e6a57e270b,2026-08-10T13:39:57.361971+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/qsort,0,1,111,-sroa,-sroa,1,[1],IrInstructionCountO3,292.0,33.42423603655305,0.0,0.45839874411302983,-0.03822679087696756,33.54179089548722,True,False,False,,0.03533928468823433,,,6ef6f28c912b43a9b5661a428835053e1e31c6f8,637,3113,85,16,637,402,d4490658eb156f1c293dee37e60371238589cdec,345,3232,85,16,345,122,0,4,54,39,12,46,23,6,12,31,2,4,0,81,4,77,13,15,108,106,75,51,71,46,15,0,9,46,0,13,72,51,77,81,39,31,0,163,2,0,4,6,13,1,0,73,8,1,0,14,85,637,402,16,10,297,2,18,54,39,12,46,23,6,12,31,2,20,0,65,20,77,13,15,108,62,39,50,26,46,15,0,9,7,0,1,84,17,77,45,39,31,0,21,2,0,26,6,13,1,0,10,8,1,0,14,85,345,122,16,60,82,-292,119,,
36864b1e10cc188891250948,846730bbb8eb990e,a69c361dc1eb48909131d7e6a57e270b,2026-08-10T13:39:57.361971+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/qsort,0,2,5,-argpromotion,-argpromotion,2,"[1, 111]",IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,33.54179089548722,True,True,True,action_no_effect,0.02744579315185547,,,d4490658eb156f1c293dee37e60371238589cdec,345,3232,85,16,345,122,d4490658eb156f1c293dee37e60371238589cdec,345,3232,85,16,345,122,2,18,54,39,12,46,23,6,12,31,2,20,0,65,20,77,13,15,108,62,39,50,26,46,15,0,9,7,0,1,84,17,77,45,39,31,0,21,2,0,26,6,13,1,0,10,8,1,0,14,85,345,122,16,60,82,2,18,54,39,12,46,23,6,12,31,2,20,0,65,20,77,13,15,108,62,39,50,26,46,15,0,9,7,0,1,84,17,77,45,39,31,0,21,2,0,26,6,13,1,0,10,8,1,0,14,85,345,122,16,60,82,0,0,,
d82d9f86328d241ac6b9ff5a,691ceee8f342dbee,a69c361dc1eb48909131d7e6a57e270b,2026-08-10T13:39:57.361971+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/qsort,1,0,39,-gvn,-gvn,0,[],IrInstructionCountO3,132.0,-4.865026529459337,0.0,0.20689655172413793,-0.815290716350787,-4.865026529459337,True,False,False,,0.032776035368442535,,,06b2f991409d560af967028c955ae6d0a7f8c971,638,3113,85,16,638,402,5235eb9668c3aaf47d4ccb4cf3d9a96b097d668d,506,5651,78,16,506,254,0,4,54,39,12,46,23,6,12,31,2,4,0,81,4,77,13,15,108,106,75,51,71,46,15,0,9,46,0,13,72,51,77,81,39,31,0,163,2,0,4,6,13,1,0,73,8,1,0,15,85,638,402,16,10,298,12,8,47,34,10,39,23,4,14,31,2,14,6,58,20,70,13,15,101,110,70,50,71,39,14,0,8,46,0,7,71,27,70,81,34,30,0,20,2,0,66,6,5,1,0,73,8,1,0,12,78,506,254,16,162,118,-132,2538,,
d82d9f86328d241ac6b9ff5a,236c26b4d3f18f6f,a69c361dc1eb48909131d7e6a57e270b,2026-08-10T13:39:57.361971+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/qsort,1,1,90,-memcpyopt,-memcpyopt,1,[39],IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,-4.865026529459337,True,True,True,action_no_effect,0.031115349382162094,,,5235eb9668c3aaf47d4ccb4cf3d9a96b097d668d,506,5651,78,16,506,254,5235eb9668c3aaf47d4ccb4cf3d9a96b097d668d,506,5651,78,16,506,254,12,8,47,34,10,39,23,4,14,31,2,14,6,58,20,70,13,15,101,110,70,50,71,39,14,0,8,46,0,7,71,27,70,81,34,30,0,20,2,0,66,6,5,1,0,73,8,1,0,12,78,506,254,16,162,118,12,8,47,34,10,39,23,4,14,31,2,14,6,58,20,70,13,15,101,110,70,50,71,39,14,0,8,46,0,7,71,27,70,81,34,30,0,20,2,0,66,6,5,1,0,73,8,1,0,12,78,506,254,16,162,118,0,0,,
d0849a02e2155bf9ca17743e,e053dfe327334bd3,a69c361dc1eb48909131d7e6a57e270b,2026-08-10T13:39:57.361971+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/qsort,2,0,78,-loop-unswitch,-loop-unswitch,0,[],IrInstructionCountO3,-1.0,-0.11755485893416927,0.0,-0.001567398119122257,0.0,-0.11755485893416927,True,False,False,,0.019736554473638535,,,06b2f991409d560af967028c955ae6d0a7f8c971,638,3113,85,16,638,402,d288ab1bb4a63b5c2fd97b8de531db3c94ee0566,639,3113,86,16,639,402,0,4,54,39,12,46,23,6,12,31,2,4,0,81,4,77,13,15,108,106,75,51,71,46,15,0,9,46,0,13,72,51,77,81,39,31,0,163,2,0,4,6,13,1,0,73,8,1,0,15,85,638,402,16,10,298,0,4,54,39,12,47,24,6,13,31,2,4,0,82,4,78,13,15,109,106,75,51,71,47,15,0,9,46,0,13,73,51,78,81,39,31,0,163,2,0,4,6,13,1,0,73,8,1,0,15,86,639,402,16,10,298,1,0,,
13e6dab5372529d4aeccfcfb,9cf31d960ec5eb5a,a69c361dc1eb48909131d7e6a57e270b,2026-08-10T13:39:57.361971+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/dijkstra,0,0,71,-loop-rotate,-loop-rotate,0,[],IrInstructionCountO3,-0.38095238095238093,-7.005339741022559,0.0,-0.07111111111111111,-0.06688025630756908,-7.005339741022559,True,False,False,,0.025547750294208527,,,b1b9b90ddcac83c49e410f2f702617643afc902c,450,2497,57,17,450,303,a8fe620adc31bea7ab4102db0155017113ce213b,482,2664,65,17,482,319,0,0,36,26,6,30,15,3,8,18,0,0,0,57,0,48,18,6,66,105,26,41,48,30,20,0,20,23,0,8,49,26,48,55,36,18,0,132,8,0,0,6,16,0,0,57,0,0,0,0,57,450,303,17,0,197,0,0,36,20,13,30,23,10,8,26,0,0,0,65,0,56,19,22,82,108,26,43,48,30,20,0,20,23,0,8,57,26,56,56,37,26,0,146,8,0,0,6,16,0,0,57,0,0,0,0,65,482,319,17,0,211,32,167,,
68c2940a0519b4fe02c863e0,b758faad9476d1a6,a69c361dc1eb48909131d7e6a57e270b,2026-08-10T13:39:57.361971+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/dijkstra,1,0,30,-early-cse,-early-cse,0,[],IrInstructionCountO3,0.5238095238095238,6.582432252035774,0.0,0.09777777777777778,-0.030036043251902282,6.582432252035774,True,False,False,,0.029033038765192032,,,b1b9b90ddcac83c49e410f2f702617643afc902c,450,2497,57,17,450,303,858f2674bd0858aece581c1517eb2019e42c3217,406,2572,57,17,406,274,0,0,36,26,6,30,15,3,8,18,0,0,0,57,0,48,18,6,66,105,26,41,48,30,20,0,20,23,0,8,49,26,48,55,36,18,0,132,8,0,0,6,16,0,0,57,0,0,0,0,57,450,303,17,0,197,0,0,36,26,6,30,15,3,8,18,0,0,0,57,0,48,18,6,66,95,26,36,45,30,18,0,18,23,0,6,51,16,48,55,30,18,0,109,8,0,0,6,13,0,0,57,0,0,0,0,57,406,274,17,0,161,-44,75,,
68c2940a0519b4fe02c863e0,4183dcf4254a1c2d,a69c361dc1eb48909131d7e6a57e270b,2026-08-10T13:39:57.361971+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/dijkstra,1,1,61,-loop-deletion,-loop-deletion,1,[30],IrInstructionCountO3,-0.011904761904761904,-0.18472906403940884,0.0,-0.0024630541871921183,0.0,6.397703187996365,True,False,False,,0.024295352399349213,,,858f2674bd0858aece581c1517eb2019e42c3217,406,2572,57,17,406,274,3d966be1bf23eafbba4883ffd2fc731828ca8f41,407,2572,57,17,407,274,0,0,36,26,6,30,15,3,8,18,0,0,0,57,0,48,18,6,66,95,26,36,45,30,18,0,18,23,0,6,51,16,48,55,30,18,0,109,8,0,0,6,13,0,0,57,0,0,0,0,57,406,274,17,0,161,0,1,36,26,6,30,15,3,8,18,0,1,0,56,1,48,18,6,66,95,26,36,45,30,18,0,18,23,0,6,51,16,48,55,30,18,0,109,8,0,1,6,13,0,0,57,0,0,0,0,57,407,274,17,1,161,1,0,,
68c2940a0519b4fe02c863e0,c4114952f55daf88,a69c361dc1eb48909131d7e6a57e270b,2026-08-10T13:39:57.361971+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/dijkstra,1,2,78,-loop-unswitch,-loop-unswitch,2,"[30, 61]",IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,6.397703187996365,True,True,True,action_no_effect,0.02425210177898407,,,3d966be1bf23eafbba4883ffd2fc731828ca8f41,407,2572,57,17,407,274,3d966be1bf23eafbba4883ffd2fc731828ca8f41,407,2572,57,17,407,274,0,1,36,26,6,30,15,3,8,18,0,1,0,56,1,48,18,6,66,95,26,36,45,30,18,0,18,23,0,6,51,16,48,55,30,18,0,109,8,0,1,6,13,0,0,57,0,0,0,0,57,407,274,17,1,161,0,1,36,26,6,30,15,3,8,18,0,1,0,56,1,48,18,6,66,95,26,36,45,30,18,0,18,23,0,6,51,16,48,55,30,18,0,109,8,0,1,6,13,0,0,57,0,0,0,0,57,407,274,17,1,161,0,0,,
